Age,Gender,Location,Total_Spend,Company_Type,Avg_Visits_Per_Month,Last_Interaction_Days,Subscription_Type,Auto_Payment,Customer_Support_Calls,Complaints_Filed,Satisfaction_Score,Purchases_Per_Year,Days_Since_Last_Purchase,Churn_Label
44,1,3,116363.37,0,27,237,2,0,9,0,8,24,248,0
36,1,3,146050.97,0,4,68,2,0,1,1,9,95,105,0
33,0,2,0.0,0,8,72,1,1,3,0,8,55,108,0
41,1,3,125561.97,0,16,12,1,1,2,2,3,38,169,1
42,1,3,98495.72,0,9,316,2,0,6,1,7,35,297,1
43,1,2,125211.92,0,28,137,0,1,9,2,8,62,315,0
45,1,2,127864.4,0,13,265,1,1,4,2,7,61,205,0
19,1,3,75888.2,0,14,252,0,1,2,4,4,13,311,0
66,0,5,0.0,0,9,342,2,1,3,4,7,40,202,1
51,1,2,40685.92,0,4,348,2,0,5,3,1,14,184,0
35,1,3,136857.0,0,28,180,1,0,1,0,3,5,133,0
27,0,3,152328.88,0,16,333,2,0,0,1,1,70,17,0
33,1,5,56084.69,0,12,174,2,0,2,4,7,63,101,0
56,1,5,78707.16,0,15,321,2,0,9,2,2,25,355,0
26,1,3,109166.37,0,20,291,1,1,9,3,2,76,121,0
36,0,3,169831.46,0,22,362,2,1,6,4,1,42,98,0
34,0,3,101633.04,0,17,24,0,1,6,3,2,78,24,0
43,1,3,123180.01,0,10,347,1,1,6,4,3,35,201,0
35,0,3,150725.53,0,18,27,1,0,3,1,6,3,85,0
21,0,2,98373.26,0,11,37,2,1,5,0,3,18,224,0
58,1,3,133745.44,0,24,320,0,1,0,0,5,58,72,1
29,1,2,0.0,0,5,162,0,1,2,4,1,73,228,0
37,0,5,163607.18,0,29,226,1,0,1,4,6,9,289,0
25,0,3,157780.84,0,26,21,0,0,4,3,3,68,98,0
36,1,2,0.0,0,25,17,2,0,1,4,6,3,364,0
21,0,2,178718.19,0,5,87,0,0,2,3,1,89,186,0
55,1,2,0.0,0,27,336,0,0,1,2,9,31,273,0
32,0,2,0.0,0,11,12,1,1,7,3,4,1,330,0
33,1,5,77253.22,0,8,222,0,1,4,4,2,95,4,0
41,0,3,122189.66,0,13,24,2,0,9,4,5,42,306,0
34,0,2,96645.54,0,22,362,2,0,0,4,4,53,75,0
32,0,2,0.0,0,1,268,1,1,9,2,4,12,143,1
36,0,2,0.0,0,8,364,0,1,9,4,7,59,28,0
34,0,2,90307.62,0,7,22,0,1,9,2,5,57,90,0
46,0,2,0.0,0,1,209,2,1,0,4,9,88,143,0
75,0,5,0.0,0,25,89,2,0,4,2,2,97,241,0
22,1,5,121681.82,0,18,56,0,1,8,3,6,10,270,1
30,1,2,0.0,0,5,361,2,1,5,3,5,74,309,0
46,0,2,0.0,0,17,339,0,0,4,4,4,34,184,1
28,0,3,81623.67,0,24,336,2,1,9,0,5,9,192,0
44,0,5,0.0,0,12,158,2,0,7,2,4,87,196,1
45,1,2,118626.55,0,14,329,0,1,3,4,5,35,264,0
36,0,2,0.0,0,28,214,1,0,2,3,2,39,332,0
29,1,2,0.0,0,3,48,0,0,8,2,2,33,225,0
42,1,5,0.0,0,28,108,0,1,9,2,3,75,35,0
35,1,5,176273.95,0,19,102,0,1,2,3,8,91,236,0
41,1,5,102827.44,0,10,302,0,1,8,4,6,89,195,0
29,1,3,97086.4,0,2,16,2,0,3,4,8,30,45,0
22,1,5,0.0,0,22,307,0,0,9,4,3,6,170,0
34,1,2,0.0,0,22,230,1,1,6,0,1,8,241,0
40,0,2,0.0,0,28,135,2,0,2,1,1,43,137,0
44,0,2,0.0,0,5,335,0,1,1,3,7,93,57,0
31,1,2,82674.15,0,1,175,0,1,1,2,9,77,244,0
36,1,5,0.0,0,17,217,0,1,6,1,9,77,56,0
65,0,5,0.0,0,21,175,2,1,3,1,2,32,299,1
46,0,5,107073.27,0,27,201,2,1,3,4,4,13,306,1
32,1,3,88938.62,0,3,204,2,0,0,4,8,22,156,0
36,0,3,99806.85,0,24,47,0,0,3,1,1,8,211,0
33,1,5,150092.8,0,27,208,0,0,9,0,8,28,139,0
35,1,3,92833.89,0,25,340,2,0,5,2,8,14,213,1
30,1,3,90536.81,0,23,44,0,1,0,0,5,1,213,0
39,1,3,108055.1,0,24,132,2,1,2,4,1,71,114,0
42,1,2,100238.35,0,20,364,1,1,5,4,4,16,225,0
36,1,5,106190.55,0,29,124,1,0,2,3,5,28,190,0
28,1,3,154475.54,0,23,210,2,1,8,1,5,5,337,1
30,0,3,132351.29,0,2,145,1,1,5,4,2,24,215,0
37,0,3,167864.4,0,2,354,2,1,2,3,7,55,103,0
41,0,2,0.0,0,1,10,1,0,0,0,8,89,32,0
31,0,3,107818.63,0,23,93,0,0,0,2,5,73,62,1
34,1,3,185173.81,0,25,179,0,0,5,2,7,84,44,0
34,1,2,129433.34,0,1,201,2,1,2,1,8,22,347,0
39,1,5,120193.42,0,16,116,1,0,0,4,6,78,219,0
39,0,2,0.0,0,13,70,0,0,1,2,4,85,163,0
48,0,3,126384.42,0,21,148,0,0,5,3,4,40,160,0
28,0,2,0.0,0,29,279,0,0,2,0,6,43,37,0
42,1,2,152603.45,0,21,315,1,0,0,3,1,92,329,1
52,0,2,0.0,0,15,68,0,1,0,4,1,8,163,1
56,1,3,148507.24,0,21,139,2,0,6,4,9,4,236,1
41,0,2,0.0,0,19,225,1,1,9,1,9,33,356,0
24,1,2,101827.07,0,2,340,2,0,8,1,6,48,144,0
34,0,2,0.0,0,4,216,0,0,2,4,3,41,262,0
33,0,3,130862.43,0,11,112,1,0,6,1,6,37,300,0
38,1,2,122570.87,0,10,194,0,1,9,4,2,11,177,0
25,1,2,0.0,0,18,331,0,0,1,4,3,71,94,0
39,1,3,124828.46,0,11,20,2,0,6,4,4,89,204,0
50,0,3,144895.05,0,7,289,1,0,9,1,6,11,300,0
34,0,3,63663.93,0,28,258,2,1,2,4,5,36,148,0
40,1,2,133463.1,0,13,167,2,0,3,2,7,41,122,0
48,0,5,213146.2,0,29,13,2,0,4,0,8,93,8,1
35,0,5,129490.36,0,3,269,2,1,3,3,4,11,121,1
44,1,3,137452.09,0,18,261,0,0,9,0,5,91,23,0
34,1,2,0.0,0,3,162,1,0,0,1,3,2,231,0
43,0,2,125851.93,0,1,166,2,1,5,2,8,75,224,0
52,1,5,0.0,0,16,240,0,0,0,4,1,10,34,1
31,0,2,40915.55,0,26,308,0,1,5,2,9,79,28,1
21,0,5,113157.22,0,7,316,1,0,1,3,6,50,127,0
29,0,5,138296.94,0,11,92,1,0,2,0,6,96,101,0
37,1,2,106967.18,0,5,201,2,0,6,1,1,86,103,0
44,1,2,120681.63,0,23,151,2,0,5,1,7,32,309,0
32,1,2,0.0,0,3,49,0,1,5,4,2,40,211,0
32,0,5,0.0,0,27,311,1,1,5,4,8,57,68,0
48,0,2,0.0,0,2,92,1,1,9,0,5,54,209,1
42,1,5,0.0,0,17,79,0,0,7,1,1,68,33,0
37,1,2,127609.59,0,22,354,2,0,1,0,4,25,308,0
43,0,2,0.0,0,11,85,1,1,9,0,2,93,212,0
57,1,5,0.0,0,17,186,0,0,9,4,4,75,175,1
33,0,2,0.0,0,15,329,1,1,0,2,1,19,144,0
28,0,5,0.0,0,22,146,1,1,0,4,8,22,253,0
73,0,2,97259.25,0,19,207,0,0,2,0,6,34,143,0
33,0,3,123246.7,0,19,312,1,1,0,4,2,55,37,0
22,0,5,101060.25,0,6,360,2,0,3,1,6,18,126,0
30,1,2,0.0,0,9,234,0,0,1,1,9,56,42,0
49,0,2,108007.36,0,26,163,0,1,4,0,1,64,2,0
36,0,5,0.0,0,29,364,1,0,0,0,3,30,200,0
29,1,5,133702.89,0,5,241,2,0,6,2,9,84,5,1
31,1,3,125189.75,0,9,263,0,1,8,3,5,83,169,0
24,0,3,113034.22,0,5,343,0,1,9,1,4,6,174,1
41,0,5,109013.23,0,19,56,1,0,4,3,3,27,92,0
39,0,5,0.0,0,22,333,0,0,0,1,8,58,348,1
24,1,3,57929.81,0,7,122,1,0,7,1,1,19,263,0
29,0,2,130114.39,0,29,278,2,1,6,1,6,7,195,0
27,1,3,95826.49,0,8,118,1,1,3,2,2,88,341,0
44,1,3,129608.57,0,8,279,1,0,6,1,4,53,101,1
30,1,2,169462.09,0,22,300,2,0,9,0,8,74,29,0
40,1,2,0.0,0,21,219,1,1,6,3,3,17,213,0
35,0,5,133868.21,0,27,127,1,1,2,1,4,93,328,0
30,0,2,0.0,0,10,237,0,0,7,3,6,84,49,0
36,1,3,190479.48,0,4,21,1,0,4,2,7,27,99,0
40,0,5,101993.12,0,11,83,1,1,8,0,2,43,59,0
55,0,3,161608.81,0,11,55,1,0,2,2,3,65,61,1
45,0,5,122311.21,0,13,252,2,1,7,1,6,74,80,0
65,1,2,0.0,0,20,50,2,1,0,4,6,98,12,0
45,0,3,162150.42,0,12,18,0,1,5,4,9,20,250,0
42,1,2,0.0,0,26,249,1,0,5,2,1,75,228,0
50,0,2,0.0,0,8,355,0,1,8,1,6,4,195,1
32,1,2,0.0,0,14,102,2,0,6,4,9,84,296,0
39,0,2,99010.67,0,13,283,2,1,2,2,2,6,336,0
37,0,5,0.0,0,23,117,2,1,1,2,7,93,168,0
30,1,5,0.0,0,13,163,1,1,4,2,4,47,21,0
34,0,3,111388.18,0,4,161,1,1,3,3,7,74,183,0
41,0,2,56214.85,0,6,25,1,1,0,0,1,91,201,1
36,0,2,84327.77,0,23,84,0,1,4,1,4,40,258,0
40,1,2,0.0,0,6,205,2,1,7,4,2,9,21,0
32,1,2,93012.89,0,28,343,1,1,8,4,1,27,8,0
29,1,5,61710.44,0,26,60,0,0,0,1,6,96,328,0
35,1,2,174790.15,0,29,276,1,0,0,4,9,7,296,0
32,0,5,0.0,0,24,149,0,1,8,1,5,73,188,0
37,1,3,107720.64,0,10,294,0,0,7,2,3,71,19,0
57,1,2,0.0,0,3,312,2,0,6,0,2,49,306,0
35,1,2,96423.84,0,10,195,2,1,7,0,6,10,105,0
30,1,5,141040.01,0,27,342,1,1,0,3,4,52,56,0
42,1,2,105420.18,0,25,162,1,1,3,1,2,36,125,0
50,1,5,0.0,0,18,266,2,1,4,4,2,66,107,1
38,0,2,129022.06,0,29,306,1,0,0,4,1,32,70,1
33,1,5,176666.62,0,14,145,0,1,0,2,8,75,345,0
37,1,2,0.0,0,5,83,2,1,7,2,2,39,215,0
41,0,5,89763.84,0,28,188,2,1,7,3,9,32,99,1
34,1,2,134954.53,0,7,69,2,1,4,4,4,47,153,0
45,1,2,0.0,0,15,197,1,0,4,0,3,83,102,1
45,1,2,106376.85,0,25,162,1,1,6,1,9,67,353,0
33,1,3,161814.64,0,4,303,2,1,4,4,8,57,122,0
31,1,2,0.0,0,4,271,1,0,0,2,1,57,137,0
41,0,2,0.0,0,13,239,2,0,1,3,1,40,136,0
34,0,2,63095.01,0,18,58,2,0,8,0,7,48,353,0
26,1,3,118287.01,0,27,312,0,0,7,3,9,74,243,0
47,1,3,106854.21,0,6,164,0,1,7,2,7,36,63,1
46,1,2,49512.55,0,17,342,0,0,6,2,2,83,216,0
33,0,5,0.0,0,22,234,2,1,0,1,9,8,221,0
43,1,2,105799.32,0,20,358,0,1,2,0,8,31,203,1
54,1,2,0.0,0,14,29,1,0,4,2,8,76,210,1
31,0,2,114722.05,0,27,80,2,0,1,2,4,98,202,0
30,1,5,0.0,0,6,249,2,1,0,4,5,73,349,0
42,1,2,0.0,0,28,99,2,1,5,0,2,36,101,0
33,1,2,0.0,0,7,63,2,0,1,2,5,4,346,1
45,1,3,99564.22,0,23,41,0,0,3,0,8,33,216,1
37,1,2,170557.91,0,9,170,0,1,9,1,8,63,1,0
30,0,2,0.0,0,16,70,2,1,4,2,7,74,11,0
39,0,3,74596.15,0,1,319,2,1,5,0,1,94,39,1
50,1,3,96888.39,0,12,354,2,0,1,4,9,72,319,1
29,0,3,130830.22,0,19,363,2,1,4,3,9,88,260,0
72,1,2,0.0,0,4,62,2,0,7,4,4,76,309,0
40,1,2,0.0,0,27,290,0,0,2,3,7,22,2,0
37,0,2,0.0,0,23,153,2,1,7,0,4,97,47,0
20,1,3,119714.25,0,14,92,1,0,0,1,8,11,342,0
67,0,2,113978.97,0,4,174,2,0,6,4,4,28,93,0
42,1,3,100160.75,0,29,141,2,0,0,3,3,37,147,1
29,0,2,0.0,0,11,186,0,0,9,3,4,43,297,0
43,0,3,116220.5,0,24,99,1,1,2,3,5,81,260,1
46,0,2,0.0,0,2,67,0,1,9,1,6,54,252,1
28,1,2,81173.83,0,24,182,1,1,2,1,4,15,244,0
38,1,5,0.0,0,23,124,1,0,0,3,8,22,270,0
39,0,3,116803.8,0,2,309,2,1,0,2,6,86,354,0
37,1,2,105961.68,0,7,29,0,0,7,3,8,5,315,0
67,1,3,117411.6,0,9,342,0,1,3,1,2,55,212,1
34,1,5,0.0,0,10,327,2,1,7,4,5,96,98,0
40,0,2,123497.58,0,11,62,0,0,3,2,2,63,71,1
26,1,3,152400.51,0,3,133,2,1,9,4,8,90,76,0
26,0,2,0.0,0,2,307,2,1,4,3,3,64,5,0
24,1,3,103097.85,0,7,317,1,1,5,4,4,40,90,0
54,1,3,126418.14,0,25,38,1,0,0,0,9,79,32,1
36,0,3,77846.9,0,25,138,2,0,1,2,4,60,121,0
34,0,5,0.0,0,6,264,1,0,4,0,1,85,300,0
79,0,2,0.0,0,26,342,2,0,3,2,3,9,87,0
37,1,3,79731.91,0,21,122,0,0,1,1,1,10,350,0
28,1,5,0.0,0,16,128,1,0,2,2,1,25,111,0
41,1,5,0.0,0,5,342,1,1,4,1,2,8,38,0
34,1,2,0.0,0,8,186,2,0,6,0,5,58,136,0
34,0,3,37266.67,0,20,335,0,0,1,4,8,89,194,0
30,0,2,127992.25,0,2,286,1,1,2,1,7,83,174,0
38,1,3,54901.01,0,5,18,1,1,8,1,6,40,150,0
42,1,3,108748.08,0,7,70,2,0,3,3,5,66,208,0
48,0,5,99906.19,0,8,140,0,0,9,3,5,77,154,0
32,0,2,184686.41,0,24,117,2,1,2,2,3,16,76,0
26,0,2,110654.02,0,11,359,1,1,1,3,4,12,275,0
31,1,5,79019.8,0,8,66,0,0,6,1,7,64,62,0
36,0,5,99240.51,0,29,326,2,1,1,0,8,17,311,0
34,1,2,0.0,0,26,214,0,1,9,1,3,86,343,0
36,1,2,0.0,0,19,172,2,0,6,3,9,8,195,0
39,0,5,0.0,0,28,182,1,1,0,2,3,55,207,1
35,0,3,52436.2,0,4,143,2,1,5,3,1,4,31,0
41,1,5,0.0,0,11,37,1,0,1,4,7,62,27,0
34,1,3,100337.96,0,2,161,1,1,2,1,4,74,214,1
34,0,3,149297.19,0,11,286,2,1,3,4,9,55,264,0
30,1,2,0.0,0,2,187,0,0,1,0,3,88,274,0
28,1,3,145605.44,0,7,233,1,0,7,2,6,55,157,0
37,0,5,0.0,0,11,18,2,1,6,2,3,8,159,0
62,1,2,0.0,0,17,296,0,0,8,0,4,71,92,1
53,0,2,0.0,0,28,363,0,1,9,2,5,67,143,0
35,1,2,84026.86,0,6,212,0,1,5,4,7,45,257,0
46,1,2,0.0,0,5,228,2,0,5,3,5,23,328,1
39,1,2,0.0,0,19,246,2,1,7,4,4,19,281,0
29,1,5,0.0,0,22,240,0,1,6,2,8,52,64,0
35,1,3,138718.92,0,4,113,2,0,0,1,3,88,13,1
42,1,2,118274.71,0,28,165,0,0,2,2,5,68,345,0
22,0,2,174185.98,0,11,28,0,1,0,4,7,75,188,0
40,1,2,113208.86,0,21,17,0,0,4,4,3,65,193,0
29,1,5,103907.28,0,13,227,1,1,9,3,4,10,260,0
32,0,2,119023.28,0,3,274,0,0,5,2,1,86,101,0
26,0,5,166297.89,0,27,296,0,1,6,3,3,81,289,0
34,1,5,0.0,0,24,350,1,0,6,3,5,54,162,0
42,1,3,63227.0,0,17,126,2,1,4,0,6,43,166,0
41,0,5,94521.17,0,23,67,0,1,0,1,1,10,104,0
27,1,2,0.0,0,12,352,2,0,8,1,8,28,302,0
34,0,5,112822.26,0,10,271,2,0,4,1,7,64,267,1
38,1,2,0.0,0,26,121,0,1,6,0,4,79,21,0
25,1,2,135903.33,0,6,325,1,0,8,3,2,38,297,0
31,0,2,125169.26,0,7,305,2,1,6,4,3,25,278,0
44,0,5,0.0,0,29,40,0,1,4,0,2,52,323,1
58,1,2,149117.31,0,10,58,2,0,9,4,9,67,318,0
33,1,2,0.0,0,7,174,1,0,1,4,3,6,202,0
31,0,2,0.0,0,11,216,2,1,7,0,6,95,205,0
36,0,5,132311.71,0,14,301,1,1,5,2,4,2,135,0
35,1,2,0.0,0,18,249,0,1,2,0,3,23,189,0
33,0,2,0.0,0,5,171,2,1,4,2,4,83,80,0
33,1,2,118082.89,0,21,73,1,1,3,4,4,66,191,0
31,1,2,119266.69,0,4,26,2,1,2,3,9,67,38,0
43,1,2,0.0,0,9,343,2,1,6,3,6,16,46,1
35,1,3,156847.29,0,17,93,2,1,6,2,4,22,234,0
50,1,2,137104.47,0,14,300,2,1,4,0,8,32,37,1
31,1,3,78398.69,0,6,123,1,0,5,2,4,1,233,0
80,0,2,0.0,0,19,341,2,1,1,3,6,48,49,0
30,1,3,63669.42,0,13,191,0,0,7,4,5,22,124,0
38,1,2,0.0,0,26,260,2,0,6,4,1,32,193,0
59,0,3,135296.33,0,8,357,0,1,5,1,3,21,26,0
36,1,5,153804.44,0,7,134,2,1,4,2,6,90,117,0
37,1,5,0.0,0,28,19,0,0,5,0,7,9,41,0
49,1,2,147069.78,0,18,176,2,1,7,0,6,32,344,1
42,1,5,0.0,0,12,229,2,1,5,1,5,78,315,0
22,0,5,0.0,0,29,5,2,0,0,1,1,34,149,0
24,1,2,95741.75,0,8,311,1,1,6,1,3,55,93,0
57,0,5,145965.33,0,14,29,0,1,1,3,2,4,153,0
30,0,2,141441.75,0,1,147,0,1,6,2,2,71,266,0
40,1,2,139290.41,0,2,116,0,1,8,2,6,29,270,1
31,0,2,0.0,0,17,135,0,1,0,1,7,57,229,0
30,1,2,0.0,0,13,13,1,1,6,4,4,29,217,0
35,1,2,144428.87,0,29,348,1,0,6,3,7,27,250,0
35,1,2,0.0,0,26,256,1,0,7,1,8,1,270,0
46,0,2,95441.27,0,21,298,0,0,7,0,6,88,242,1
35,1,3,144848.74,0,11,354,0,1,0,1,4,92,89,0
26,1,3,116244.14,0,18,335,0,0,0,2,7,62,116,0
50,1,2,0.0,0,15,261,2,1,5,2,6,43,363,0
40,0,5,146502.07,0,23,5,1,1,2,0,9,84,130,0
44,1,3,117028.6,0,25,13,1,1,9,4,5,88,145,0
30,0,3,112013.81,0,3,186,2,1,0,0,2,63,158,1
37,0,5,108269.37,0,20,52,1,0,0,1,4,7,30,0
29,1,2,182123.79,0,23,191,1,1,0,3,8,48,27,1
32,0,3,150923.74,0,17,12,0,0,7,1,5,58,320,0
33,1,2,0.0,0,11,298,2,1,9,3,1,45,249,0
39,0,5,165272.13,0,4,306,1,0,5,4,8,2,47,1
39,0,3,115301.31,0,11,1,0,0,4,4,4,61,59,1
40,0,3,129502.49,0,17,225,2,0,4,2,6,86,95,1
31,1,2,118342.26,0,8,320,2,1,9,4,4,54,209,0
47,0,5,0.0,0,7,4,1,0,4,2,8,18,115,0
22,1,2,0.0,0,11,129,0,0,2,3,1,49,239,0
25,0,2,0.0,0,10,227,1,1,0,2,6,30,175,0
43,0,2,0.0,0,19,42,2,1,5,0,7,81,132,0
34,0,3,106937.05,0,6,24,2,0,1,2,5,99,144,0
59,1,3,170331.37,0,8,277,2,1,5,2,7,93,213,0
32,0,3,114510.85,0,5,165,0,1,8,4,4,80,195,0
39,1,2,0.0,0,13,18,0,1,6,4,5,85,101,0
32,1,5,107594.11,0,18,172,0,0,8,3,2,74,352,0
39,1,5,81273.13,0,20,3,0,0,2,1,6,5,319,0
32,0,5,169399.6,0,29,157,0,0,8,1,6,67,137,0
25,1,5,0.0,0,5,344,0,0,5,4,6,31,19,0
45,0,2,187841.99,0,18,90,1,0,4,3,2,13,172,0
30,1,2,0.0,0,12,169,0,1,7,2,7,16,311,0
57,0,5,126776.3,0,17,56,0,0,7,2,2,84,213,0
34,1,5,126436.29,0,13,151,1,1,3,4,1,96,275,1
41,1,2,101960.74,0,5,304,2,0,1,0,1,7,25,0
58,1,2,0.0,0,23,295,2,1,3,3,8,4,226,0
28,1,5,0.0,0,16,43,2,0,2,1,3,56,191,0
45,0,3,150842.93,0,7,234,2,1,1,0,9,79,118,1
50,0,2,102535.57,0,29,102,0,0,4,0,5,6,244,0
29,0,3,99027.61,0,25,298,0,0,9,1,3,51,81,0
68,1,2,0.0,0,20,221,1,1,6,3,4,26,40,0
33,0,5,0.0,0,23,160,2,0,9,0,2,40,4,0
42,0,3,87271.41,0,14,148,0,1,2,2,8,84,115,0
35,0,3,102742.91,0,25,136,1,1,5,2,4,96,271,0
34,1,3,40105.51,0,11,88,0,0,5,1,6,21,293,0
29,0,2,152265.43,0,1,135,0,1,3,2,1,24,8,0
42,1,5,141947.67,0,9,62,2,0,4,1,2,61,3,0
75,0,3,106307.91,0,14,18,0,0,5,1,2,5,285,0
31,1,3,107884.81,0,4,230,0,1,1,3,7,24,294,0
31,1,3,125013.72,0,2,185,2,0,2,0,3,31,22,0
35,1,3,58469.37,0,6,169,2,0,5,3,9,74,144,0
39,0,2,0.0,0,25,183,0,0,5,4,9,56,250,0
45,1,3,117231.63,0,13,50,2,1,4,1,4,22,275,1
35,1,5,152390.26,0,16,24,0,1,1,1,1,71,331,0
30,0,5,34013.63,0,19,8,2,1,9,3,5,81,316,0
39,0,5,0.0,0,11,9,0,0,4,0,9,27,247,1
50,0,2,0.0,0,13,275,1,1,3,0,4,89,268,0
36,1,2,101583.11,0,6,54,2,1,3,0,2,41,150,0
30,0,3,77168.87,0,23,115,1,1,4,0,4,87,185,0
28,1,3,124695.72,0,14,62,0,1,0,1,1,50,115,0
44,1,3,105934.96,0,28,128,0,0,5,1,9,36,325,0
66,0,2,0.0,0,17,144,2,1,8,0,2,93,252,0
46,1,5,0.0,0,28,98,2,0,0,3,4,58,20,0
62,1,5,0.0,0,20,193,1,1,3,3,7,62,278,0
45,0,5,0.0,0,9,303,1,0,0,1,8,44,170,0
21,0,2,161525.96,0,29,125,2,1,1,3,7,88,120,0
29,0,3,147199.07,0,6,340,2,1,6,0,7,5,68,0
38,1,3,183102.29,0,25,178,2,1,9,4,6,27,119,0
46,1,5,127209.0,0,22,156,0,1,8,2,2,92,67,1
38,1,5,0.0,0,18,28,1,1,5,2,4,43,45,1
24,0,5,97378.54,0,12,213,0,0,8,1,5,98,232,0
37,0,3,136925.09,0,28,230,2,1,3,0,3,71,165,0
33,1,2,54503.55,0,23,203,0,1,4,4,9,73,84,0
32,1,3,155726.85,0,12,344,1,0,4,0,1,72,268,0
39,0,2,0.0,0,27,268,2,0,3,0,5,52,109,0
66,0,2,135842.41,0,21,282,2,1,6,1,9,55,202,1
52,1,2,63349.75,0,24,230,1,0,4,1,1,48,176,0
38,0,3,129499.42,0,29,188,1,1,3,2,3,59,349,0
52,1,5,0.0,0,16,137,0,0,1,3,9,55,338,0
36,1,5,70438.01,0,4,110,2,1,2,0,4,68,78,0
23,1,2,0.0,0,19,324,1,1,5,3,4,12,39,0
36,1,2,0.0,0,23,132,2,0,2,0,2,97,286,0
49,0,5,141434.04,0,4,207,0,1,4,0,5,8,356,1
37,0,5,0.0,0,15,164,1,0,3,3,2,68,273,0
37,1,3,152958.29,0,20,202,1,1,9,0,3,34,239,0
41,0,3,138306.34,0,1,348,2,0,1,0,3,98,151,0
23,1,5,0.0,0,23,231,2,0,5,0,3,63,172,0
38,1,2,0.0,0,28,330,1,1,1,1,4,47,173,0
31,0,5,124328.84,0,24,42,1,1,4,0,9,41,321,0
41,0,3,181461.48,0,24,272,2,1,1,2,1,81,273,1
35,1,5,0.0,0,9,14,0,1,8,2,9,90,54,0
26,1,5,0.0,0,12,175,2,0,3,3,7,27,51,0
61,0,3,110368.03,0,1,164,2,1,2,4,8,39,33,1
39,0,2,89588.35,0,3,192,0,1,9,0,7,81,305,0
46,0,2,0.0,0,17,316,0,1,2,4,1,65,291,0
28,0,2,0.0,0,2,170,2,1,6,3,7,99,17,0
60,0,3,115924.89,0,15,42,1,1,6,1,6,59,9,1
